index,u,v,edge_generator,word,length,tau_monodromy,deck_matrix,lambda2,memory_coeff_u1_u2_u3
147,16,164,S10,S2 S11 S6 S10 S6 S11,6,1,"[[1, 0, -2], [0, 1, 0], [0, 0, 1]]",001000000,"-1,1,0"
148,17,21,S1,S3 S10 S11 S1 S5 S8,6,1,"[[1, 2, -4], [0, 1, -2], [0, 2, -3]]",010001010,"0,2,-2"
149,17,165,S4,S3 S10 S11 S4 S11 S10 S1,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
150,17,89,S5,S3 S10 S11 S5 S11 S10,6,1,"[[1, 2, 0], [0, 1, 0], [0, 0, 1]]",010000000,"1,2,-3"
151,17,41,S6,S3 S10 S11 S6 S11 S10 S2,7,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
152,17,20,S7,S3 S10 S11 S7 S10 S6,6,1,"[[-1, -2, 2], [0, -1, 0], [0, -2, 1]]",111010010,"0,1,-1"
153,17,64,S8,S3 S10 S11 S8 S11 S3,6,1,"[[1, 2, 0], [0, 1, 0], [0, 2, 1]]",010000010,"1,1,-2"
154,17,115,S9,S3 S10 S11 S9 S4 S11 S1,7,-1,"[[1, 2, 0], [0, 1, 0], [2, 2, -1]]",010000111,
155,17,167,S10,S3 S10 S11 S10 S2 S4 S1,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
156,18,23,S1,S5 S7 S1 S5 S9,5,-1,"[[1, 0, 0], [2, -1, 0], [0, 0, 1]]",000110000,
157,18,164,S4,S5 S7 S4 S6 S11,5,-1,"[[1, 0, -2], [0, 1, -2], [0, 0, -1]]",001001001,
158,18,88,S5,S5 S7 S5 S11,4,1,"[[1, 0, 0], [0, 1, 2], [0, 0, 1]]",000001000,"-2,1,1"
159,18,43,S6,S5 S7 S6 S4 S11,5,-1,"[[-1, 0, 0], [-4, 1, 2], [-2, 0, 1]]",100001100,
160,18,66,S8,S5 S7 S8 S7 S5 S3,6,1,"[[1, 0, -2], [0, 1, 0], [0, 0, 1]]",001000000,"-3,2,1"
161,18,114,S9,S5 S7 S9 S7 S5 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"-2,3,-1"
162,18,166,S10,S5 S7 S10 S7 S5 S2,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"-1,1,0"
163,19,167,S4,S5 S1 S4 S2 S4 S1,6,1,"[[1, 2, -2], [0, 3, -2], [0, 2, -1]]",011011011,"0,0,0"
164,19,90,S5,S5 S1 S5 S11 S9,5,-1,"[[1, 0, 0], [0, -1, 2], [0, 0, 1]]",000011000,
165,19,42,S6,S5 S1 S6 S2 S4,5,-1,"[[-1, 0, 0], [0, 3, -2], [0, 2, -1]]",100011011,
166,19,23,S7,S5 S1 S7 S5 S9,5,-1,"[[1, 0, 0], [2, -1, 0], [0, 0, 1]]",000110000,
167,19,67,S8,S5 S1 S8 S11 S8 S1,6,1,"[[1, 2, -2], [0, 3, -2], [0, 2, -1]]",011011011,"-3,2,1"
168,19,112,S9,S5 S1 S9 S11 S1,5,-1,"[[1, 0, 0], [0, -1, 2], [0, 0, 1]]",000011000,
169,19,165,S10,S5 S1 S10 S11 S10 S1,6,1,"[[1, 2, -2], [0, 3, -2], [0, 2, -1]]",011011011,"-1,0,1"
170,20,146,S4,S6 S10 S4 S10 S5,5,-1,"[[1, 0, -2], [0, 1, -2], [0, 0, -1]]",001001001,
171,20,79,S5,S6 S10 S5 S10,4,1,"[[3, 0, -2], [2, 1, -2], [2, 0, -1]]",101101101,"-1,2,-1"
172,20,32,S6,S6 S10 S6 S10 S4,5,-1,"[[1, 0, -2], [0, 1, -2], [0, 0, -1]]",001001001,
173,20,61,S8,S6 S10 S8 S9 S6,5,-1,"[[-1, 0, 2], [-2, 1, 2], [0, 0, 1]]",101101000,
174,20,105,S9,S6 S10 S9 S8 S6,5,-1,"[[1, -2, 2], [0, -1, 2], [0, 0, 1]]",011011000,
175,21,145,S4,S8 S5 S4 S6 S8,5,-1,"[[1, -2, 2], [0, -1, 2], [0, 0, 1]]",011011000,
176,21,33,S6,S8 S5 S6 S9 S4,5,-1,"[[-1, 0, 0], [-2, 1, 0], [-2, 0, 1]]",100100100,
177,21,60,S8,S8 S5 S8 S2 S12 S2,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
178,21,107,S9,S8 S5 S9 S4 S7 S1,6,1,"[[1, 0, 0], [2, -1, 0], [2, 0, -1]]",000110101,"0,1,-1"
179,21,147,S10,S8 S5 S10 S6 S9,5,-1,"[[1, 0, -2], [0, 1, -2], [0, 0, -1]]",001001001,
180,22,144,S4,S5 S4 S6,3,-1,"[[1, 0, -2], [0, 1, -2], [0, 0, -1]]",001001001,
181,22,35,S6,S5 S6 S4,3,-1,"[[-1, 0, 0], [-2, 1, 0], [-2, 0, 1]]",100100100,
182,23,147,S4,S9 S5 S4 S6 S9,5,-1,"[[-1, 0, 2], [-2, 1, 2], [0, 0, 1]]",101101000,
183,23,34,S6,S9 S5 S6 S8 S4,5,-1,"[[-1, 0, 0], [-2, 1, 0], [0, -2, 1]]",100100010,
184,23,63,S8,S9 S5 S8 S10 S7 S1,6,1,"[[-1, 0, 0], [0, -1, 0], [-2, 0, 1]]",100010100,"0,1,-1"
185,23,104,S9,S9 S5 S9 S7 S1,5,-1,"[[1, 0, 0], [2, -1, 0], [0, 0, 1]]",000110000,
186,23,145,S10,S9 S5 S10 S6 S8,5,-1,"[[-1, 2, -2], [-2, 3, -2], [0, 0, -1]]",111111001,
187,24,25,S1,S3 S5 S10 S1 S6 S9 S1,7,-1,"[[1, 0, 2], [0, -1, 2], [0, 0, 1]]",001011000,
188,24,26,S2,S3 S5 S10 S2 S11 S6 S2,7,-1,"[[-1, 0, -2], [0, -1, -2], [0, 0, -1]]",101011001,
189,24,27,S3,S3 S5 S10 S3 S12 S6,6,1,"[[1, 2, -2], [0, 3, -2], [0, 2, -1]]",011011011,"0,-1,1"
190,24,93,S4,S3 S5 S10 S4 S12 S10,6,1,"[[3, 0, -2], [2, 1, -2], [2, 0, -1]]",101101101,"0,1,-1"
191,24,156,S5,S3 S5 S10 S5 S3 S12,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"3,-1,-2"
192,24,48,S7,S3 S5 S10 S7 S10 S5 S1,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
193,24,28,S8,S3 S5 S10 S8 S11 S5 S2,7,-1,"[[-1, 0, 2], [-2, 1, 2], [0, 0, 1]]",101101000,
194,24,38,S9,S3 S5 S10 S9 S8 S5 S3,7,-1,"[[1, 0, 0], [0, -1, 2], [0, 0, 1]]",000011000,
195,24,122,S11,S3 S5 S10 S11 S10 S5 S2,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
196,24,146,S12,S3 S5 S10 S12 S10 S5,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"3,-2,-1"
197,25,27,S2,S1 S9 S6 S2 S12 S6,6,1,"[[1, -2, 0], [0, 1, 0], [0, 0, 1]]",010000000,"0,-1,1"
198,25,26,S3,S1 S9 S6 S3 S11 S6 S2,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
199,25,94,S4,S1 S9 S6 S4 S9 S7,6,1,"[[-1, 0, 0], [0, -1, 2], [0, 0, 1]]",100011000,"0,1,-1"
200,25,158,S5,S1 S9 S6 S5 S8 S4 S1,7,-1,"[[1, 0, 0], [0, -1, 0], [0, -2, 1]]",000010010,
201,25,49,S7,S1 S9 S6 S7 S6 S9 S3,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
202,25,31,S8,S1 S9 S6 S8 S4 S7,6,1,"[[-1, 0, 0], [0, 1, 0], [0, 2, -1]]",100000011,"1,-1,0"
203,25,36,S9,S1 S9 S6 S9 S3 S11 S2,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
204,25,45,S10,S1 S9 S6 S10 S5 S8 S1,7,-1,"[[1, 0, 0], [0, 1, -2], [0, 0, -1]]",000001001,
205,25,123,S11,S1 S9 S6 S11 S6 S9 S2,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
206,25,147,S12,S1 S9 S6 S12 S6 S9,6,1,"[[1, -2, 0], [0, 1, 0], [0, 0, 1]]",010000000,"1,-1,0"
207,26,27,S1,S2 S6 S11 S1 S12 S6,6,1,"[[-1, 2, 0], [0, 1, 0], [2, -2, -1]]",110000111,"-2,1,1"
208,26,95,S4,S2 S6 S11 S4 S12 S8,6,1,"[[1, 0, 0], [2, -1, 0], [0, 0, -1]]",000110001,"-1,1,0"
209,26,159,S5,S2 S6 S11 S5 S7 S4 S2,7,-1,"[[1, -2, 0], [0, -1, 0], [0, 0, 1]]",010010000,
210,26,51,S7,S2 S6 S11 S7 S10 S12 S1,7,-1,"[[1, 0, 0], [2, 1, -2], [0, 0, -1]]",000101001,
211,26,30,S8,S2 S6 S11 S8 S7 S10 S1,7,-1,"[[1, 0, 0], [0, 1, 0], [0, 0, -1]]",000000001,
212,26,39,S9,S2 S6 S11 S9 S1 S4,6,1,"[[1, 0, 0], [0, -1, 0], [0, 0, -1]]",000010001,"-1,0,1"
213,26,47,S10,S2 S6 S11 S10 S12 S8 S1,7,-1,"[[1, 0, 0], [2, 1, -2], [0, 0, -1]]",000101001,
214,26,145,S12,S2 S6 S11 S12 S6 S8,6,1,"[[-1, 2, 0], [0, 1, 0], [0, 0, -1]]",110000001,"1,0,-1"
215,27,92,S4,S6 S12 S4 S12,4,1,"[[3, -2, 0], [2, -1, 0], [2, -2, 1]]",110110110,"2,-1,-1"
216,27,157,S5,S6 S12 S5 S12 S4,5,-1,"[[1, -2, 0], [0, -1, 0], [0, -2, 1]]",010010010,
217,27,50,S7,S6 S12 S7 S11 S6,5,-1,"[[-1, 2, 0], [0, 1, 0], [-2, 2, 1]]",110000110,
218,27,29,S8,S6 S12 S8 S7 S9 S3,6,1,"[[-1, 2, 0], [0, 1, 0], [0, 0, -1]]",110000001,"0,1,-1"
219,27,37,S9,S6 S12 S9 S8 S12 S3,6,1,"[[-1, -2, 2], [0, -1, 0], [0, -2, 1]]",111010010,"1,0,-1"
220,27,44,S10,S6 S12 S10 S12 S3,5,-1,"[[3, -2, -2], [2, -1, -2], [2, -2, -1]]",111111111,
221,27,121,S11,S6 S12 S11 S7 S6,5,-1,"[[1, 2, -2], [0, 1, 0], [0, 2, -1]]",011000011,
222,28,29,S1,S2 S5 S11 S1 S7 S9 S3,7,-1,"[[1, 0, 0], [2, -1, 0], [0, 0, 1]]",000110000,
223,28,30,S2,S2 S5 S11 S2 S7 S10 S1,7,-1,"[[1, 0, 0], [2, -1, 0], [0, 0, 1]]",000110000,
224,28,31,S3,S2 S5 S11 S3 S4 S7,6,1,"[[1, 0, 0], [2, -1, 0], [2, 0, -1]]",000110101,"0,0,0"
225,28,81,S4,S2 S5 S11 S4 S7 S8,6,1,"[[1, 0, 0], [2, -1, 0], [0, 0, -1]]",000110001,"1,0,-1"
226,28,152,S5,S2 S5 S11 S5 S7 S2,6,1,"[[-1, 2, 0], [-2, 3, 0], [0, 0, 1]]",110110000,"2,-1,-1"
227,28,52,S7,S2 S5 S11 S7 S3 S10 S1,7,-1,"[[1, 0, 0], [2, -1, 0], [0, -2, 1]]",000110010,
228,28,46,S9,S2 S5 S11 S9 S5 S3,6,1,"[[-1, 0, 2], [0, -1, 2], [0, 0, 1]]",101011000,"-1,0,1"
229,28,38,S10,S2 S5 S11 S10 S8 S5 S3,7,-1,"[[-1, 0, 2], [-2, 1, 4], [0, 0, 1]]",101100000,
230,28,166,S12,S2 S5 S11 S12 S7 S5 S2,7,-1,"[[-1, 0, 2], [-2, 1, 2], [0, 0, 1]]",101101000,
231,29,31,S2,S3 S9 S7 S2 S4 S7,6,1,"[[1, 0, 0], [0, 1, 0], [0, -2, 1]]",000000010,"1,-1,0"
232,29,30,S3,S3 S9 S7 S3 S7 S10 S1,7,-1,"[[1, 0, 0], [0, 1, 0], [0, 0, -1]]",000000001,
233,29,82,S4,S3 S9 S7 S4 S7 S9,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,-1,1"
234,29,154,S5,S3 S9 S7 S5 S7 S9 S2,7,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
235,29,44,S9,S3 S9 S7 S9 S12 S3,6,1,"[[1, 0, -2], [0, 1, -2], [0, 0, 1]]",001001000,"-1,-1,2"
236,29,37,S10,S3 S9 S7 S10 S8 S12 S3,7,-1,"[[1, 0, -2], [0, 1, 0], [0, 0, -1]]",001000001,
237,29,143,S11,S3 S9 S7 S11 S5 S9 S2,7,-1,"[[1, 0, 0], [2, -1, 0], [0, 0, 1]]",000110000,
238,29,167,S12,S3 S9 S7 S12 S2 S4 S1,7,-1,"[[-1, 0, 0], [0, -1, 0], [0, 2, -1]]",100010011,
239,30,31,S1,S1 S10 S7 S1 S4 S7,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
240,30,83,S4,S1 S10 S7 S4 S7 S10,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
241,30,155,S5,S1 S10 S7 S5 S7 S10 S2,7,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
242,30,47,S9,S1 S10 S7 S9 S12 S8 S1,7,-1,"[[1, 0, 0], [0, -1, 2], [0, 0, 1]]",000011000,
243,30,39,S10,S1 S10 S7 S10 S1 S4,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
244,30,140,S11,S1 S10 S7 S11 S12 S10 S1,7,-1,"[[-1, 0, 0], [-2, 1, 0], [-2, 0, 1]]",100100100,
245,30,165,S12,S1 S10 S7 S12 S11 S10 S1,7,-1,"[[1, -2, 0], [0, -1, 0], [0, -2, 1]]",010010010,
246,31,153,S5,S7 S4 S5 S6 S7,5,-1,"[[1, 2, -2], [0, 1, 0], [0, 2, -1]]",011000011,
247,31,54,S7,S7 S4 S7 S1 S10 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
248,31,45,S9,S7 S4 S9 S5 S8 S1,6,1,"[[-1, 0, 0], [-2, -1, 2], [-2, 0, 1]]",100111100,"0,1,-1"
249,31,36,S10,S7 S4 S10 S3 S11 S2,6,1,"[[1, 0, 0], [0, -1, 0], [0, 0, -1]]",000010001,"1,-1,0"
250,31,141,S11,S7 S4 S11 S5 S8 S2,6,1,"[[1, 0, 0], [2, -1, 0], [2, 0, -1]]",000110101,"1,0,-1"
251,31,164,S12,S7 S4 S12 S6 S11,5,-1,"[[1, -2, 0], [0, -1, 0], [0, -2, 1]]",010010010,
252,32,36,S1,S4 S10 S1 S3 S11 S2,6,1,"[[1, 0, 0], [0, -1, 0], [0, 0, -1]]",000010001,"1,-1,0"
253,32,40,S2,S4 S10 S2 S11 S2,5,-1,"[[1, 0, 0], [0, 1, 0], [0, 0, -1]]",000000001,
254,32,44,S3,S4 S10 S3 S12 S3,5,-1,"[[1, 0, -2], [0, 1, -2], [0, 0, -1]]",001001001,
255,32,79,S4,S4 S10 S4 S10,4,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
256,32,146,S5,S4 S10 S5 S10 S5,5,-1,"[[1, 0, -2], [0, 1, -2], [0, 0, -1]]",001001001,
257,32,56,S7,S4 S10 S7 S10 S4 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
258,32,33,S8,S4 S10 S8 S9 S4,5,-1,"[[1, 0, 0], [0, 1, 0], [2, 0, -1]]",000000101,
259,32,34,S9,S4 S10 S9 S8 S4,5,-1,"[[1, 0, 0], [0, 1, 0], [0, 2, -1]]",000000011,
260,32,132,S11,S4 S10 S11 S2 S11,5,-1,"[[1, 0, 0], [0, 1, 0], [0, 0, -1]]",000000001,
261,32,156,S12,S4 S10 S12 S3 S12,5,-1,"[[1, 0, -2], [0, 1, -2], [0, 0, -1]]",001001001,
262,33,37,S1,S4 S9 S1 S8 S12 S3,6,1,"[[1, 0, -2], [0, 1, 0], [2, 0, -3]]",001000100,"0,-2,2"
263,33,41,S2,S4 S9 S2 S11 S10 S2,6,1,"[[1, 0, 0], [0, 1, 0], [2, -2, 1]]",000000110,"0,-2,2"
264,33,45,S3,S4 S9 S3 S5 S8 S1,6,1,"[[-1, 0, 0], [-2, -1, 2], [-2, 0, 1]]",100111100,"0,0,0"
265,33,77,S4,S4 S9 S4 S8,4,1,"[[1, 0, 0], [0, 1, 0], [2, 0, 1]]",000000100,"1,-2,1"
266,33,145,S5,S4 S9 S5 S6 S8,5,-1,"[[1, -2, 0], [0, -1, 0], [2, -4, 1]]",010010100,
267,33,57,S7,S4 S9 S7 S12 S4 S2,6,1,"[[-1, 0, 0], [0, 1, 0], [-2, 2, -1]]",100000111,"2,-3,1"
268,33,34,S10,S4 S9 S10 S8 S4,5,-1,"[[1, 0, 0], [0, 1, 0], [2, 2, -1]]",000000111,
269,33,135,S11,S4 S9 S11 S4 S2,5,-1,"[[1, 0, 0], [0, 1, 0], [0, 2, -1]]",000000011,
270,33,159,S12,S4 S9 S12 S7 S4 S2,6,1,"[[-1, 2, 0], [0, 1, 0], [-2, 4, -1]]",110000101,"0,-1,1"
271,34,38,S1,S4 S8 S1 S8 S5 S3,6,1,"[[-1, 0, 2], [0, -1, 0], [0, -2, 1]]",101010010,"1,-2,1"
272,34,43,S2,S4 S8 S2 S4 S11,5,-1,"[[1, 0, 0], [0, 1, 0], [2, 0, -1]]",000000101,
273,34,47,S3,S4 S8 S3 S12 S8 S1,6,1,"[[1, 0, 0], [0, -1, 2], [0, -2, 3]]",000011011,"1,0,-1"
274,34,78,S4,S4 S8 S4 S9,4,1,"[[1, 0, 0], [0, 1, 0], [0, 2, 1]]",000000010,"1,-2,1"
275,34,147,S5,S4 S8 S5 S6 S9,5,-1,"[[1, -2, 0], [0, -1, 0], [0, -2, 1]]",010010010,
276,34,58,S7,S4 S8 S7 S8 S4 S3,6,1,"[[1, -2, 0], [0, 1, 0], [0, 0, 1]]",010000000,"2,-3,1"
277,34,134,S11,S4 S8 S11 S8 S4 S2,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"3,-2,-1"
278,34,158,S12,S4 S8 S12 S8 S4 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"1,-1,0"
279,35,46,S3,S4 S3 S5 S3,4,1,"[[-1, 0, 2], [-2, 1, 2], [-2, 0, 3]]",101101101,"-1,-1,2"
280,35,144,S5,S4 S5 S6,3,-1,"[[1, -2, 0], [0, -1, 0], [0, -2, 1]]",010010010,
281,36,44,S2,S2 S11 S3 S2 S12 S3,6,1,"[[1, 0, -2], [0, 1, 0], [0, 0, 1]]",001000000,"-1,0,1"
282,36,87,S4,S2 S11 S3 S4 S10 S7,6,1,"[[1, 0, 0], [0, -1, 0], [0, 0, -1]]",000010001,"-1,1,0"
283,36,162,S5,S2 S11 S3 S5 S8 S5 S1,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
284,36,60,S7,S2 S11 S3 S7 S2 S12 S2,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
285,36,45,S8,S2 S11 S3 S8 S5 S8 S1,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
286,36,136,S11,S2 S11 S3 S11 S2 S12,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"-1,0,1"
287,36,160,S12,S2 S11 S3 S12 S3 S11,6,1,"[[1, 0, -2], [0, 1, 0], [0, 0, 1]]",001000000,"0,0,0"
288,37,45,S2,S3 S12 S8 S2 S5 S8 S1,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
289,37,41,S3,S3 S12 S8 S3 S11 S10 S2,7,-1,"[[1, -4, 2], [0, -1, 0], [0, -2, 1]]",001010010,
290,37,85,S4,S3 S12 S8 S4 S8 S12,6,1,"[[1, 0, 2], [0, 1, 0], [0, 0, 1]]",001000000,"0,1,-1"
291,37,161,S5,S3 S12 S8 S5 S8 S12 S1,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
292,37,61,S7,S3 S12 S8 S7 S9 S6,6,1,"[[-1, 0, 2], [0, -1, 0], [0, 0, 1]]",101010000,"0,1,-1"
293,37,139,S11,S3 S12 S8 S11 S10 S7 S3,7,-1,"[[1, 2, -2], [0, 1, 0], [0, 2, -1]]",011000011,
294,37,163,S12,S3 S12 S8 S12 S2 S5 S1,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
295,38,47,S2,S3 S5 S8 S2 S12 S8 S1,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
296,38,43,S3,S3 S5 S8 S3 S4 S11,6,1,"[[3, 0, -2], [0, 1, 0], [2, 0, -1]]",101000101,"0,-1,1"
297,38,84,S4,S3 S5 S8 S4 S9 S6 S3,7,-1,"[[1, 0, -2], [0, 1, 0], [0, 0, -1]]",001000001,
298,38,160,S5,S3 S5 S8 S5 S3 S11,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"1,0,-1"
299,38,62,S7,S3 S5 S8 S7 S8 S5,6,1,"[[1, 0, 2], [0, 1, 0], [0, 0, 1]]",001000000,"0,1,-1"
300,38,138,S11,S3 S5 S8 S11 S8 S5 S2,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
301,38,162,S12,S3 S5 S8 S12 S8 S5 S1,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
302,39,46,S2,S4 S1 S2 S5 S3,5,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
303,39,42,S3,S4 S1 S3 S2 S4,5,-1,"[[1, 0, 0], [0, -1, 0], [0, -2, 1]]",000010010,
304,39,86,S4,S4 S1 S4 S1 S4 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
305,39,163,S5,S4 S1 S5 S2 S5 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"-1,1,0"
306,39,63,S7,S4 S1 S7 S10 S7 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
307,39,47,S8,S4 S1 S8 S12 S8 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"-1,1,0"
308,39,137,S11,S4 S1 S11 S9 S6 S2,6,1,"[[1, 0, 0], [0, -1, 0], [0, 0, -1]]",000010001,"1,0,-1"
309,39,161,S12,S4 S1 S12 S8 S12 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"-1,1,0"
310,40,44,S1,S2 S11 S1 S12 S3,5,-1,"[[1, 0, -2], [2, -1, -2], [0, 0, 1]]",001111000,
311,40,91,S4,S2 S11 S4 S11 S8,5,-1,"[[1, 0, 0], [0, 1, 0], [-2, 2, -1]]",000000111,
312,40,166,S5,S2 S11 S5 S7 S5 S2,6,1,"[[1, 0, -2], [0, 1, -2], [0, 0, 1]]",001001000,"-2,1,1"
313,40,68,S7,S2 S11 S7 S12 S2,5,-1,"[[-1, 0, 0], [-2, 1, 0], [0, 0, 1]]",100100000,
314,40,41,S8,S2 S11 S8 S11 S10 S2,6,1,"[[1, 0, 0], [0, 1, 0], [0, -2, 1]]",000000010,"-1,-1,2"
315,40,42,S9,S2 S11 S9 S2 S4,5,-1,"[[1, 0, 0], [0, 1, 0], [0, 2, -1]]",000000011,
316,40,43,S10,S2 S11 S10 S4 S11,5,-1,"[[1, 0, 0], [0, 1, 0], [0, 0, -1]]",000000001,
317,40,152,S12,S2 S11 S12 S7 S2,5,-1,"[[1, -2, 0], [0, -1, 0], [0, 0, 1]]",010010000,
318,41,45,S1,S2 S10 S11 S1 S5 S8 S1,7,-1,"[[-1, 0, 0], [0, 1, -2], [0, 2, -3]]",100001010,
319,41,89,S4,S2 S10 S11 S4 S11 S10,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"-1,3,-2"
320,41,165,S5,S2 S10 S11 S5 S11 S10 S1,7,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
321,41,69,S7,S2 S10 S11 S7 S10 S6 S1,7,-1,"[[1, 0, 0], [0, -1, 0], [0, -2, 1]]",000010010,
322,41,43,S9,S2 S10 S11 S9 S4 S11,6,1,"[[1, 0, 0], [0, 1, 0], [-2, 2, 1]]",000000110,"-1,0,1"
323,41,42,S10,S2 S10 S11 S10 S2 S4,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"-2,3,-1"
324,41,155,S12,S2 S10 S11 S12 S7 S10 S2,7,-1,"[[1, -2, 0], [0, -1, 0], [0, -2, 1]]",010010010,
325,42,46,S1,S4 S2 S1 S5 S3,5,-1,"[[-1, 0, 2], [0, -1, 2], [0, -2, 3]]",101011011,
326,42,90,S4,S4 S2 S4 S11 S9,5,-1,"[[1, 0, 0], [0, 1, 0], [0, 2, -1]]",000000011,
327,42,167,S5,S4 S2 S5 S2 S4 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"1,-1,0"
328,42,70,S7,S4 S2 S7 S9 S7 S2,6,1,"[[1, -2, 2], [0, -1, 2], [0, -2, 3]]",011011011,"2,-3,1"
329,42,43,S8,S4 S2 S8 S4 S11,5,-1,"[[1, 0, 0], [0, 1, 0], [2, 0, -1]]",000000101,
330,42,126,S11,S4 S2 S11 S9 S2,5,-1,"[[1, 0, 0], [0, 1, 0], [0, 2, -1]]",000000011,
331,42,154,S12,S4 S2 S12 S7 S9 S2,6,1,"[[1, -2, 0], [0, -1, 0], [0, -2, -1]]",010010011,"1,0,-1"
332,43,47,S1,S11 S4 S1 S12 S8 S1,6,1,"[[1, 0, 0], [2, 1, -2], [0, 0, 1]]",000101000,"0,1,-1"
333,43,164,S5,S11 S4 S5 S6 S11,5,-1,"[[-1, 2, 0], [0, 1, 0], [-2, 2, 1]]",110000110,
334,43,71,S7,S11 S4 S7 S12 S8 S2,6,1,"[[-1, 0, 0], [-2, 1, 0], [0, 0, -1]]",100100001,"1,0,-1"
335,43,125,S11,S11 S4 S11 S8 S2,5,-1,"[[1, 0, 0], [0, 1, 0], [2, 0, -1]]",000000101,
336,43,153,S12,S11 S4 S12 S6 S7,5,-1,"[[-1, -2, 2], [0, -1, 0], [-2, -2, 3]]",111010111,
337,44,75,S4,S3 S12 S4 S10 S12,5,-1,"[[1, 0, -2], [0, 1, -2], [0, 0, -1]]",001001001,
338,44,150,S5,S3 S12 S5 S3 S10,5,-1,"[[1, -2, 0], [0, -1, 0], [0, -2, 1]]",010010010,
339,44,64,S7,S3 S12 S7 S11 S3,5,-1,"[[-1, 0, 2], [-2, 1, 2], [0, 0, 1]]",101101000,
340,44,128,S11,S3 S12 S11 S7 S3,5,-1,"[[1, -2, 2], [0, -1, 2], [0, 0, 1]]",011011000,
341,45,73,S4,S1 S8 S5 S4 S8 S7,6,1,"[[-1, 0, 0], [0, -1, 2], [0, 0, 1]]",100011000,"-1,1,0"
