edge_id,geom_support_eps,dark_support_eps,P084_support_eps,geom_median_px,geom_p95_px,P084_median_px,P084_p95_px,status
0,1.0,1.0,0.0,0.0,1.0,318.45721846134927,321.20553617949264,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
1,0.03773584905660377,0.20754716981132076,0.0,38.118237105091836,69.57735436187404,294.5929394944828,318.3206986995325,NT-GEOMETRIC-REALIZATION
2,0.0,0.0,0.0,76.40026177965623,83.06021126546008,268.21260223934297,275.72535355637007,NT-GEOMETRIC-REALIZATION
3,0.05172413793103448,0.46551724137931033,0.0,42.3656501882473,78.60015443270683,283.3953817993862,312.78509063602655,NT-GEOMETRIC-REALIZATION
4,1.0,1.0,0.0,0.0,1.0,315.67388235329196,320.9729549778816,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
5,0.0,0.2033898305084746,0.0,67.26812023536856,81.56384937832942,255.89450951515158,261.50668320524346,NT-GEOMETRIC-REALIZATION
6,0.10810810810810811,0.13513513513513514,0.0,25.317977802344327,47.86359178744961,291.1631844859511,318.4530910126336,NT-GEOMETRIC-REALIZATION
7,0.03225806451612903,0.1774193548387097,0.0,43.49327216721829,68.58589520368508,292.1508789105593,318.57926096577944,NT-GEOMETRIC-REALIZATION
8,0.0,0.0,0.0,59.90826320300064,66.66381431749645,275.17630711963557,276.62136379159006,NT-GEOMETRIC-REALIZATION
9,0.0,0.0,0.0,69.8927750200262,83.28182494381514,266.59519875646674,273.50492425781226,NT-GEOMETRIC-REALIZATION
10,0.0196078431372549,0.13725490196078433,0.0,45.0,48.901877072979474,176.50495743746123,306.8798470066899,NT-GEOMETRIC-REALIZATION
11,0.0,0.14634146341463414,0.0,59.43904440685432,67.04466742455749,152.50573759698355,252.59820591503666,NT-GEOMETRIC-REALIZATION
12,0.0,0.3157894736842105,0.0,60.31160138096717,87.20951555701546,153.7085425151882,249.78979953683316,NT-GEOMETRIC-REALIZATION
13,1.0,1.0,0.0,0.0,0.3499999999999943,338.61593856133265,362.8229248631426,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
14,0.14814814814814814,0.18518518518518517,0.0,13.20820393249937,31.87141663475453,354.9676041556469,364.23267384634187,NT-GEOMETRIC-REALIZATION
15,0.10416666666666667,0.4791666666666667,0.0,22.135943621178654,48.987633637760034,310.2586676472793,345.04263671757104,NT-GEOMETRIC-REALIZATION
16,0.08928571428571429,0.25,0.0,21.617959490570833,49.4297101463912,268.42596062068475,273.0320443858995,NT-GEOMETRIC-REALIZATION
17,0.0,0.1951219512195122,0.0,66.86143382558912,97.19229868146574,226.7200391854047,265.99054553362555,NT-GEOMETRIC-REALIZATION
18,0.03676470588235294,0.08088235294117647,0.0,50.98333927823414,82.78416223632539,201.96286568923776,252.31146848280002,NT-GEOMETRIC-REALIZATION
19,1.0,1.0,0.0,0.0,0.0,324.0061727807049,325.085526608774,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
20,0.0,0.0,0.0,42.0,47.34117167929019,42.44997055358225,51.25848272043691,NT-GEOMETRIC-REALIZATION
21,0.017964071856287425,0.0658682634730539,0.0,35.0,38.0,164.07315441594946,308.4405294725606,NT-GEOMETRIC-REALIZATION
22,0.0,0.32954545454545453,0.0,31.454791676666026,63.811829667511006,115.0,195.32304066683812,NT-GEOMETRIC-REALIZATION
23,0.0,0.23809523809523808,0.0,45.09988913511872,47.265209192385896,45.09988913511872,50.99019513592785,NT-GEOMETRIC-REALIZATION
24,0.21951219512195122,0.24390243902439024,0.0,9.848857801796104,21.0,357.97485945244813,365.301245549478,NT-GEOMETRIC-REALIZATION
25,0.0,0.0,0.0,26.40075756488817,34.78286362682187,350.76630396889607,353.489928549,NT-GEOMETRIC-REALIZATION
26,0.0,0.25,0.0,46.6207858235461,52.11484836235402,360.301512918468,371.67614674831077,NT-GEOMETRIC-REALIZATION
27,0.0,0.45454545454545453,0.0,41.012193308819754,41.617304093369626,378.350761471715,384.65939789078124,NT-GEOMETRIC-REALIZATION
28,0.06666666666666667,0.4266666666666667,0.0,41.6293165929973,67.0,325.33828548143543,379.78269585191435,NT-GEOMETRIC-REALIZATION
29,0.0,0.0,0.0,41.78516483155236,52.576346399058245,272.9468812791236,273.9339319861053,NT-GEOMETRIC-REALIZATION
30,0.0,0.025,0.0,46.630964543960324,57.370475786256776,272.7471304591803,279.36396957447846,NT-GEOMETRIC-REALIZATION
31,0.0,0.4339622641509434,0.0,73.79024325749306,98.14182519777677,240.0,276.07920885564147,NT-GEOMETRIC-REALIZATION
32,0.04878048780487805,0.12195121951219512,0.0,30.157825414322296,54.86340415559431,266.85388912819514,277.96983755687774,NT-GEOMETRIC-REALIZATION
33,1.0,1.0,0.0,0.0,0.0,327.9957209288091,330.5833030770139,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
34,0.0,0.05263157894736842,0.0,28.635642126552707,35.922116913625985,57.245087125446844,100.35463848882651,NT-GEOMETRIC-REALIZATION
35,0.02631578947368421,0.16666666666666666,0.0,13.341664064126334,18.0,218.00917431191442,319.67905085415373,NT-GEOMETRIC-REALIZATION
36,0.0,0.1111111111111111,0.0,43.30111622778159,47.07437687408798,43.30111622778159,49.96879829415845,NT-GEOMETRIC-REALIZATION
37,0.0,0.08333333333333333,0.0,39.0,40.28144676630831,39.0,40.28144676630831,NT-GEOMETRIC-REALIZATION
38,0.0,0.0625,0.0,43.0,44.23788470714904,43.0,44.23788470714904,NT-GEOMETRIC-REALIZATION
39,0.03278688524590164,0.11475409836065574,0.0,42.85267599457171,96.91669085843141,207.01448715986345,224.61700169820173,NT-GEOMETRIC-REALIZATION
40,0.0,0.25170068027210885,0.0,72.42237223399962,123.53040741288696,108.01851693112621,216.0207371387878,NT-GEOMETRIC-REALIZATION
41,1.0,1.0,0.0,0.0,2.118033988749895,384.94804844290354,405.27709369942943,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
42,1.0,1.0,0.0,0.0,1.3313708498984749,422.9349831829947,439.5122808401096,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
43,0.21739130434782608,0.21739130434782608,0.0,10.815072906367325,22.521463576270772,398.16391339718655,437.19317977933935,NT-GEOMETRIC-REALIZATION
44,0.15384615384615385,0.17307692307692307,0.0,13.363961030678928,37.57658845611187,394.4825122391935,437.0409670391386,NT-GEOMETRIC-REALIZATION
45,0.0,0.45454545454545453,0.0,26.181546108431565,39.74780370021343,390.59086566077747,406.01089890922873,NT-GEOMETRIC-REALIZATION
46,0.0,0.3181818181818182,0.0,40.30508652763321,47.98160300492594,365.2878351014407,378.8734152259545,NT-GEOMETRIC-REALIZATION
47,0.0,0.5652173913043478,0.0,21.213203435596427,30.340595802273153,394.06217783491985,405.968156594639,NT-GEOMETRIC-REALIZATION
48,0.057971014492753624,0.4492753623188406,0.0,31.78049716414141,53.22636520224058,335.72161086233336,380.7727153206072,NT-GEOMETRIC-REALIZATION
49,0.0,0.3,0.0,26.576865469921295,38.48275147749516,395.9125291238065,406.1688025020293,NT-GEOMETRIC-REALIZATION
50,0.00819672131147541,0.09836065573770492,0.0,67.50513922656418,99.46330981220963,371.62176634691934,437.9599889912577,NT-GEOMETRIC-REALIZATION
51,0.02564102564102564,0.05128205128205128,0.0,24.0,35.79937887599697,416.2355102583152,442.23682575694886,NT-GEOMETRIC-REALIZATION
52,0.0,0.1797752808988764,0.0,26.40075756488817,33.54101966249684,295.0,369.85043258944927,NT-GEOMETRIC-REALIZATION
53,0.015384615384615385,0.08205128205128205,0.0,11.0,12.165525060596439,137.05838172107534,311.47295302488806,NT-GEOMETRIC-REALIZATION
54,0.0,0.06097560975609756,0.0,14.0,18.0,27.55191482144163,97.6402218523926,NT-GEOMETRIC-REALIZATION
55,0.0,0.11764705882352941,0.0,23.0,35.0,23.0,35.0,NT-GEOMETRIC-REALIZATION
56,0.0,0.0,0.0,33.0,40.486304806795125,33.0,40.486304806795125,NT-GEOMETRIC-REALIZATION
57,0.0,0.04411764705882353,0.0,33.0,36.0,33.0,36.0,NT-GEOMETRIC-REALIZATION
58,0.0,0.0,0.0,34.61923145934185,47.22577225339703,34.61923145934185,47.22577225339703,NT-GEOMETRIC-REALIZATION
59,0.0,0.1111111111111111,0.0,26.476404589747453,49.24428900898052,142.70599146496969,219.64744478368056,NT-GEOMETRIC-REALIZATION
60,0.07766990291262135,0.10679611650485436,0.0,26.0,54.220836147732236,299.81661061388843,369.723369561225,NT-GEOMETRIC-REALIZATION
61,0.6666666666666666,1.0,0.0,2.414213562373095,3.9937170380792426,232.35537474123902,237.8008925629818,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT
62,1.0,1.0,0.0,0.0,0.0,463.88511984440163,483.2827899951134,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
63,0.15254237288135594,0.288135593220339,0.0,15.0,30.472431386341984,430.9303888100722,480.3536439150695,NT-GEOMETRIC-REALIZATION
64,0.15517241379310345,0.1724137931034483,0.0,13.867114464137547,35.54498822750843,441.9859386202776,481.3838530301697,NT-GEOMETRIC-REALIZATION
65,0.07936507936507936,0.1746031746031746,0.0,27.51363298439521,44.023809382143654,399.0513751385904,410.65264790620665,NT-GEOMETRIC-REALIZATION
66,0.0,0.0,0.0,29.742446229250014,46.113728750660655,428.50291510101783,440.14662312086284,NT-GEOMETRIC-REALIZATION
67,0.0,0.1,0.0,62.884759919077496,78.36477134314204,375.5,437.1397373462267,NT-GEOMETRIC-REALIZATION
68,0.47619047619047616,0.5238095238095238,0.0,4.123105625617661,11.313708498984761,420.0488066879848,431.223839786253,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT
69,0.1935483870967742,0.3870967741935484,0.0,15.620499351813308,37.54255921205075,410.33279176785277,430.62426040048246,NT-GEOMETRIC-REALIZATION
70,0.12195121951219512,0.14634146341463414,0.0,8.54400374531753,11.0,441.13716687669836,444.05517675171853,NT-GEOMETRIC-REALIZATION
71,0.1891891891891892,0.35135135135135137,0.0,7.0,14.063564212655269,437.6048445801303,444.2028808599999,NT-GEOMETRIC-REALIZATION
72,1.0,1.0,0.0,0.0,1.0,334.7730574583325,417.069096421754,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
73,1.0,1.0,0.0,1.0,2.23606797749979,332.74164151785993,335.02594565722677,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
74,0.3333333333333333,0.6666666666666666,0.3333333333333333,5.5,10.45,5.5,10.45,NT-GEOMETRIC-REALIZATION
75,0.9949238578680203,1.0,0.15736040609137056,0.0,1.0,138.36184445142382,315.4839029132119,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
76,0.018518518518518517,0.09259259259259259,0.0,26.841664064126334,47.22577225339703,30.03329637837291,69.85949410386884,NT-GEOMETRIC-REALIZATION
77,0.10909090909090909,0.2909090909090909,0.07272727272727272,12.0,36.647996521615994,19.235384061671343,71.07974477403468,NT-GEOMETRIC-REALIZATION
78,0.46,0.62,0.46,4.0,11.0,4.0,11.0,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT
79,0.08695652173913043,0.13043478260869565,0.0,26.248809496813376,49.25923419282491,63.788713735268246,75.81094012985118,NT-GEOMETRIC-REALIZATION
80,0.6666666666666666,1.0,0.0,2.0,3.9107950630558945,228.69411885748178,228.94582975057813,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT
81,1.0,1.0,0.0,0.0,0.8999999999999999,235.46761985462035,238.01319292513148,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
82,0.6666666666666666,1.0,0.0,2.23606797749979,3.9344018608058735,230.52114870440846,232.43513710481398,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT
83,1.0,1.0,0.0,0.0,1.0,522.0967343318669,555.6786367115626,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
84,0.0684931506849315,0.1506849315068493,0.0,27.018512172212592,55.243472191538785,487.0995791416782,552.523587539124,NT-GEOMETRIC-REALIZATION
85,0.3333333333333333,0.4166666666666667,0.0,4.302775637731995,10.9377490215472,415.9088842534203,423.9236377574431,NT-GEOMETRIC-REALIZATION
86,0.16901408450704225,0.16901408450704225,0.0,12.206555615733702,28.29279824388062,425.4092147568033,430.7708140298857,NT-GEOMETRIC-REALIZATION
87,0.3950617283950617,0.49382716049382713,0.0,7.0,14.212670403551895,447.4203839790941,461.4780601502091,NT-GEOMETRIC-REALIZATION
88,0.0,0.06976744186046512,0.0,8.94427190999916,11.0,450.00444442249676,460.34465296013866,NT-GEOMETRIC-REALIZATION
89,0.7272727272727273,0.7272727272727273,0.0,2.8284271247461903,3.8643284505408246,428.6268773653841,432.3412868998606,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT
90,0.45,0.55,0.0,4.061552812808831,10.052268050859364,447.0139818670931,451.3632679598368,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT
91,0.9032258064516129,1.0,0.0,0.0,4.302775637731995,449.40182465139145,451.23547825339443,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
92,1.0,1.0,0.0,0.5,2.4499999999999993,446.8833509084103,448.6925416437045,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
93,1.0,1.0,0.0,2.0,2.75,445.2886689653236,446.25806174779814,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
94,0.3333333333333333,0.45454545454545453,0.0,6.0,12.717978451685,439.6555469910507,445.69159401948286,NT-GEOMETRIC-REALIZATION
95,0.09615384615384616,0.5448717948717948,0.08333333333333333,5.0,12.281195934094221,5.0990195135927845,24.574349084408162,NT-GEOMETRIC-REALIZATION
96,0.8333333333333334,0.8782051282051282,0.8205128205128205,2.0,11.260398644698075,2.0,23.88270068688411,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
97,0.5178571428571429,0.6428571428571429,0.48214285714285715,3.0,15.503922779733042,4.73606797749979,34.96189251292816,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT
98,0.1267605633802817,0.5915492957746479,0.0,24.041630560342615,46.84600150226383,543.3829220724552,557.668105923267,NT-GEOMETRIC-REALIZATION
99,0.14285714285714285,0.22448979591836735,0.0,13.416407864998739,24.24423045729694,496.9708240933264,537.271625575041,NT-GEOMETRIC-REALIZATION
100,0.8936170212765957,0.8723404255319149,0.0,1.4142135623730951,3.605551275463989,447.1822894525229,461.72597853508483,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
101,0.5882352941176471,0.7647058823529411,0.0,2.23606797749979,6.766563145999496,463.05291274324145,464.2137928471947,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT
102,1.0,1.0,0.0,0.0,0.0,457.39479664727276,464.0,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
103,0.42857142857142855,0.5,0.0,5.15154392492244,10.36587635601554,447.0668013487024,452.3034853922352,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT
104,0.23684210526315788,0.3157894736842105,0.0,7.447941497572213,12.220190914428223,465.40466254283433,466.37431318630746,NT-GEOMETRIC-REALIZATION
105,1.0,1.0,0.0,0.0,1.0,447.61758154805875,448.73394039822335,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
106,0.8846153846153846,1.0,0.0,1.0,4.88492480697441,450.5885011787071,451.9004283249493,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
107,0.875,1.0,0.0,0.0,4.274754878398197,439.19106737523305,451.3682959552184,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
108,0.20689655172413793,0.20689655172413793,0.0,7.810249675906654,15.556349186104045,65.45991139621256,93.23829684627661,NT-GEOMETRIC-REALIZATION
109,1.0,1.0,0.0,0.0,0.0,515.4046953608397,538.8541576078023,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
110,0.53125,0.8125,0.0,3.1622776601683795,6.6717183305880665,477.23383700453394,489.8468389635275,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT
111,1.0,1.0,0.0,0.0,1.2692388155425112,601.7917097676498,640.4379018678202,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
112,1.0,1.0,0.0,0.0,1.0,589.8354252443914,638.7145569988517,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
113,0.0,0.25,0.0,5.5,6.85,462.95439529071984,464.28097391229977,NT-GEOMETRIC-REALIZATION
114,0.9285714285714286,1.0,0.0,1.2071067811865475,3.4554804791094464,464.16861141043944,465.0,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
115,0.8484848484848485,1.0,0.0,2.0,5.563479642218822,478.6188462649585,490.373709621234,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
116,0.7142857142857143,1.0,0.0,0.0,6.338157192897627,486.4196691038667,491.0276529325801,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT
117,0.9666666666666667,1.0,0.0,0.0,1.229837387624878,472.27342765931564,481.48788684277434,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
118,1.0,1.0,0.0,0.0,0.0,153.3101431738944,222.01209011958517,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
119,1.0,1.0,0.0,0.0,0.0,56.60388679233962,75.42536781180652,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
120,1.0,1.0,0.0,1.0,1.0,230.82460874005614,232.46548310837875,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
