generator_id,relator,half_word,g_matrix,four_diamond_occurrences,cycle_formula,status
Z4_1,R2a_E12F1,E12 F1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]","0,1,2,3",(1-g) e_R2a_E12F1,PROVEN_NEW_RELATIVE_TO_V38_SEED_SUBMODULE
Z4_2,R2a_E13F1,E13 F1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]","8,9,10,11",(1-g) e_R2a_E13F1,PROVEN_NEW_RELATIVE_TO_V38_SEED_SUBMODULE
Z4_3,R2a_E21F2,E21 F2,"[[1, 0, 0], [2, -1, 0], [0, 0, 1]]","16,17,18,19",(1-g) e_R2a_E21F2,PROVEN_NEW_RELATIVE_TO_V38_SEED_SUBMODULE
Z4_4,R2a_E31F3,E31 F3,"[[1, 0, 0], [0, 1, 0], [2, 0, -1]]","20,21,22,23",(1-g) e_R2a_E31F3,PROVEN_NEW_RELATIVE_TO_V38_SEED_SUBMODULE
Z4_5,R2b_E12F2,E12 F2,"[[1, -2, 0], [0, -1, 0], [0, 0, 1]]","4,5,6,7",(1-g) e_R2b_E12F2,PROVEN_NEW_RELATIVE_TO_V38_SEED_SUBMODULE
Z4_6,R2b_E13F3,E13 F3,"[[1, 0, -2], [0, 1, 0], [0, 0, -1]]","12,13,14,15",(1-g) e_R2b_E13F3,PROVEN_NEW_RELATIVE_TO_V38_SEED_SUBMODULE
