macro,source_step,step_id,matrix,det,adjacent_algebraic_refinement,wall_path_status,edge_tuple_status
R,1,R1,"[[1, 0, 1], [0, 1, 0], [0, 0, 1]]",1,S3 S2,PENDING_GEOMETRIC_ADAPTER,NO_EPSILON_TAU_S_CHI_FROM_MATRIX_WORD_ALONE
R,2,R2,"[[1, 0, 0], [0, 1, 0], [1, 0, 1]]",1,S10 S8,PENDING_GEOMETRIC_ADAPTER,NO_EPSILON_TAU_S_CHI_FROM_MATRIX_WORD_ALONE
R,3,R3,"[[-1, 0, 0], [0, -1, 0], [-1, 0, 1]]",1,-I Gamma Delta S8 S10,PENDING_GEOMETRIC_ADAPTER,NO_EPSILON_TAU_S_CHI_FROM_MATRIX_WORD_ALONE
R,4,R4,"[[1, 0, 0], [0, 1, 0], [-1, 0, 1]]",1,S8 S10,PENDING_GEOMETRIC_ADAPTER,NO_EPSILON_TAU_S_CHI_FROM_MATRIX_WORD_ALONE
R,5,R5,"[[1, 0, -1], [0, 1, 0], [0, 0, 1]]",1,S2 S3,PENDING_GEOMETRIC_ADAPTER,NO_EPSILON_TAU_S_CHI_FROM_MATRIX_WORD_ALONE
S,1,S1,"[[1, 0, 0], [1, 1, 0], [0, 0, 1]]",1,S12 S7,PENDING_GEOMETRIC_ADAPTER,NO_EPSILON_TAU_S_CHI_FROM_MATRIX_WORD_ALONE
S,2,S2,"[[-1, 1, 0], [0, 1, 0], [0, 0, -1]]",1,S2 Gamma Delta,PENDING_GEOMETRIC_ADAPTER,NO_EPSILON_TAU_S_CHI_FROM_MATRIX_WORD_ALONE
S,3,S3,"[[1, 0, 0], [-1, 1, 0], [0, 0, 1]]",1,S7 S12,PENDING_GEOMETRIC_ADAPTER,NO_EPSILON_TAU_S_CHI_FROM_MATRIX_WORD_ALONE
