macro,step,Q_source_e1,Q_target_e1,lorentz_inner_source_e1_with_pulled_target_e1,tau_time_chart,status
R,1,12,12,12,1,PROVEN_GEOMETRIC_TIME_CONE_ADAPTER_ON_DECLARED_SOURCE_PATH
R,2,12,43,24,1,PROVEN_GEOMETRIC_TIME_CONE_ADAPTER_ON_DECLARED_SOURCE_PATH
R,3,43,88,-62,-1,PROVEN_GEOMETRIC_TIME_CONE_ADAPTER_ON_DECLARED_SOURCE_PATH
R,4,88,147,114,1,PROVEN_GEOMETRIC_TIME_CONE_ADAPTER_ON_DECLARED_SOURCE_PATH
R,5,147,147,147,1,PROVEN_GEOMETRIC_TIME_CONE_ADAPTER_ON_DECLARED_SOURCE_PATH
S,1,12,11,12,1,PROVEN_GEOMETRIC_TIME_CONE_ADAPTER_ON_DECLARED_SOURCE_PATH
S,2,11,11,-11,-1,PROVEN_GEOMETRIC_TIME_CONE_ADAPTER_ON_DECLARED_SOURCE_PATH
S,3,11,39,21,1,PROVEN_GEOMETRIC_TIME_CONE_ADAPTER_ON_DECLARED_SOURCE_PATH
