s
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
9.657973093709475432e-01
3.994372759099746317e-01
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
9.657973093709475432e-01
3.994372759099746317e-01
3.788693475930533794e-02
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
9.657973093709475432e-01
3.994372759099746317e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
9.657973093709475432e-01
3.994372759099746317e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
9.657973093709475432e-01
3.994372759099746317e-01
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
9.657973093709475432e-01
3.994372759099746317e-01
3.788693475930533794e-02
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
9.657973093709475432e-01
3.994372759099746317e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
9.657973093709475432e-01
3.994372759099746317e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
9.657973093709475432e-01
3.994372759099746317e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
9.657973093709475432e-01
3.994372759099746317e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
9.657973093709475432e-01
3.994372759099746317e-01
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
9.657973093709475432e-01
3.994372759099746317e-01
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.788693475930533794e-02
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.788693475930533794e-02
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.788693475930533794e-02
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.788693475930533794e-02
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
9.657973093709475432e-01
3.994372759099746317e-01
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
3.994372759099746317e-01
3.788693475930533794e-02
3.994372759099746317e-01
9.657973093709475432e-01
3.788693475930533794e-02
9.657973093709475432e-01
3.994372759099746317e-01
3.788693475930533794e-02
3.788693475930533794e-02
3.994372759099746317e-01
3.788693475930533794e-02
3.994372759099746317e-01
