edge_id,global_curve_status,final_positive_status,basis,hax_membership,geom_support_eps,dark_support_eps,geom_median_px,geom_p95_px,was_old_108_NT,newly_resolved_from_old_NT
51,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.07692307692307693,0.10256410256410256,23.259406699226016,36.023534186398685,True,False
52,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.16853932584269662,27.730849247724095,35.41745505881967,True,False
53,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.015384615384615385,0.09743589743589744,14.0,18.0,True,False
54,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.0975609756097561,19.0,20.994030650891055,True,False
55,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.11764705882352941,33.5,46.349999999999994,True,False
56,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.0,56.0,58.0,True,False
57,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.058823529411764705,51.0489810386033,53.0,True,False
58,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.140625,64.0,70.30181963025879,True,False
59,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.0,0.14814814814814814,23.769728648009426,43.68065933568311,True,False
60,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.08737864077669903,0.10679611650485436,25.0,53.05977910089157,True,False
61,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,0.8333333333333334,1.0,1.8251407699364424,3.790569415042095,True,True
62,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,HAX1,1.0,1.0,0.0,1.0,True,True
63,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.15254237288135594,0.288135593220339,15.556349186104045,30.111269837220803,True,False
