trace_id,angle_deg,rho,span,coverage,pieces,x1,y1,x2,y2,source_dark_fraction,source_dark_samples,bsb_support_fraction_on_source_dark_samples,status
DAX00,119.745944018,-2212.147488977,1206.449791769,0.082384474,6,1874.143377301,1178.971392219,1275.557229684,2226.452047859,0.06048053,73,0.97260274,DUAL_SOURCE_SUPPORTED_DOTTED_TRACE_DIAGNOSTIC_NOT_BOUND_TO_HAX
DAX01,154.866367979,-1840.073435028,708.355410216,0.27236174,7,1194.598918102,1472.066094903,553.310851427,1772.926532187,0.181946403,129,1.0,DUAL_SOURCE_SUPPORTED_DOTTED_TRACE_DIAGNOSTIC_NOT_BOUND_TO_HAX
DAX02,90.118475739,-1328.803574739,1160.704333195,0.061380809,4,1327.47082668,645.90014635,1325.070733563,1806.601998097,0.054263566,63,1.0,DUAL_SOURCE_SUPPORTED_DOTTED_TRACE_DIAGNOSTIC_NOT_BOUND_TO_HAX
DAX03,87.982795979,-1148.679151133,1143.395244641,0.050424213,4,1176.197329866,761.068549616,1216.444361125,1903.755235433,0.081293706,93,1.0,DUAL_SOURCE_SUPPORTED_DOTTED_TRACE_DIAGNOSTIC_NOT_BOUND_TO_HAX
DAX04,90.379478354,-1156.651518969,732.314287876,0.112848497,5,1147.528053704,1381.322387655,1142.677864195,2113.620613714,0.186903138,137,0.99270073,DUAL_SOURCE_SUPPORTED_DOTTED_TRACE_DIAGNOSTIC_NOT_BOUND_TO_HAX
DAX05,122.341892719,-1694.393575919,829.733355684,0.065999641,4,1411.051864698,938.812808496,967.16921799,1639.830381376,0.084337349,70,1.0,DUAL_SOURCE_SUPPORTED_DOTTED_TRACE_DIAGNOSTIC_NOT_BOUND_TO_HAX
DAX06,122.684746828,-2030.389092172,692.309839344,0.059604019,4,1365.196226139,1632.109037189,991.337644883,2214.794779998,0.056277056,39,1.0,DUAL_SOURCE_SUPPORTED_DOTTED_TRACE_DIAGNOSTIC_NOT_BOUND_TO_HAX
